population,minimum_age,maximum_age,gender,zipcode,geo_id
90,55.0,59.0,male,53035,8600000US53035
30,65.0,66.0,female,45846,8600000US45846
15,45.0,49.0,male,78548,8600000US78548
250,75.0,79.0,female,32413,8600000US32413
850,25.0,29.0,male,14304,8600000US14304
621,0.0,4.0,male,80030,8600000US80030
512,10.0,14.0,male,32905,8600000US32905
5,85.0,nan,female,72170,8600000US72170
200,40.0,44.0,female,42567,8600000US42567
5,45.0,49.0,female,67159,8600000US67159
37,85.0,nan,male,95834,8600000US95834
273,60.0,61.0,female,48092,8600000US48092
294,75.0,79.0,female,49017,8600000US49017
11,62.0,64.0,female,13473,8600000US13473
311,10.0,14.0,female,44231,8600000US44231
63,62.0,64.0,male,74363,8600000US74363
24,0.0,4.0,male,1011,8600000US01011
12,5.0,9.0,male,40874,8600000US40874
109,21.0,21.0,female,92131,8600000US92131
166,62.0,64.0,female,30553,8600000US30553
3,22.0,24.0,female,61278,8600000US61278
8,67.0,69.0,female,41260,8600000US41260
2,85.0,nan,male,97901,8600000US97901
222,67.0,69.0,male,34229,8600000US34229
80,67.0,69.0,male,24064,8600000US24064
11,60.0,61.0,female,61730,8600000US61730
1,85.0,nan,male,4024,8600000US04024
86,75.0,79.0,female,33476,8600000US33476
47,21.0,21.0,male,66547,8600000US66547
17,22.0,24.0,female,4479,8600000US04479
59,67.0,69.0,female,35147,8600000US35147
22,45.0,49.0,female,70465,8600000US70465
41,65.0,66.0,female,48637,8600000US48637
522,45.0,49.0,female,95110,8600000US95110
70,20.0,20.0,male,28584,8600000US28584
32,70.0,74.0,female,5038,8600000US05038
11,62.0,64.0,male,48502,8600000US48502
149,85.0,nan,male,80237,8600000US80237
237,20.0,20.0,female,98030,8600000US98030
9,35.0,39.0,male,28662,8600000US28662
14,10.0,14.0,female,32648,8600000US32648
2,85.0,nan,male,73032,8600000US73032
542,15.0,17.0,male,78801,8600000US78801
220,20.0,20.0,female,91739,8600000US91739
20,65.0,66.0,female,74637,8600000US74637
58,20.0,20.0,male,55305,8600000US55305
266,18.0,19.0,female,80602,8600000US80602
4,35.0,39.0,female,93043,8600000US93043
10,10.0,14.0,male,45032,8600000US45032
443,0.0,4.0,male,45885,8600000US45885
26,75.0,79.0,female,15050,8600000US15050
18,40.0,44.0,male,4982,8600000US04982
7,25.0,29.0,female,98814,8600000US98814
22,15.0,17.0,male,3740,8600000US03740
109,80.0,84.0,male,96768,8600000US96768
277,18.0,19.0,female,89706,8600000US89706
4,25.0,29.0,female,17933,8600000US17933
51,10.0,14.0,female,24534,8600000US24534
87,15.0,17.0,male,49749,8600000US49749
290,80.0,84.0,female,8234,8600000US08234
14,65.0,66.0,male,39561,8600000US39561
63,25.0,29.0,female,30256,8600000US30256
11,55.0,59.0,female,38359,8600000US38359
3,75.0,79.0,male,24714,8600000US24714
33,5.0,9.0,male,50642,8600000US50642
168,80.0,84.0,male,33004,8600000US33004
160,0.0,4.0,female,37032,8600000US37032
316,50.0,54.0,female,35096,8600000US35096
88,15.0,17.0,male,22920,8600000US22920
1405,45.0,49.0,female,71111,8600000US71111
1585,nan,nan,female,22567,8600000US22567
1430,45.0,49.0,male,46112,8600000US46112
279,18.0,19.0,female,76092,8600000US76092
14,75.0,79.0,male,50569,8600000US50569
2,80.0,84.0,female,87061,8600000US87061
19,55.0,59.0,female,95637,8600000US95637
131,62.0,64.0,male,63334,8600000US63334
12,60.0,61.0,male,54659,8600000US54659
1064,25.0,29.0,female,27332,8600000US27332
45,55.0,59.0,female,63848,8600000US63848
18,20.0,20.0,female,87321,8600000US87321
27,85.0,nan,male,67752,8600000US67752
220,75.0,79.0,female,48442,8600000US48442
9,30.0,34.0,female,76832,8600000US76832
75,40.0,44.0,male,79084,8600000US79084
166,35.0,39.0,male,46777,8600000US46777
3,45.0,49.0,female,79369,8600000US79369
14,40.0,44.0,female,68304,8600000US68304
31,40.0,44.0,female,33946,8600000US33946
1,25.0,29.0,female,83874,8600000US83874
58,25.0,29.0,male,27897,8600000US27897
145,85.0,nan,male,2476,8600000US02476
17,67.0,69.0,female,77359,8600000US77359
14,35.0,39.0,female,50133,8600000US50133
10,15.0,17.0,male,56033,8600000US56033
397,18.0,19.0,female,24541,8600000US24541
125,20.0,20.0,female,55422,8600000US55422
122,70.0,74.0,female,30607,8600000US30607
505,22.0,24.0,male,22043,8600000US22043
28,35.0,39.0,female,58060,8600000US58060
1860,35.0,39.0,female,20148,8600000US20148
407,70.0,74.0,male,28086,8600000US28086
106,80.0,84.0,male,85017,8600000US85017
1046,55.0,59.0,male,37803,8600000US37803
10,75.0,79.0,female,23092,8600000US23092
1,20.0,20.0,male,67447,8600000US67447
449,20.0,20.0,male,33801,8600000US33801
99,55.0,59.0,female,24067,8600000US24067
3,15.0,17.0,male,81084,8600000US81084
462,70.0,74.0,female,28461,8600000US28461
5,55.0,59.0,female,59418,8600000US59418
106,60.0,61.0,male,31820,8600000US31820
7,85.0,nan,male,49452,8600000US49452
13,22.0,24.0,female,67954,8600000US67954
6,35.0,39.0,female,67734,8600000US67734
919,35.0,39.0,female,66030,8600000US66030
15217,nan,nan,nan,53566,8600000US53566
19,85.0,nan,male,7737,8600000US07737
47,75.0,79.0,male,16630,8600000US16630
